epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9438,1.36458,3.08334,1.4833,0.00603,0.53331,0.28135,0.18882,1.33876,3.26182,1.47406,0.000408333,0.000408333,0.000408333
2,34.3227,1.47016,2.11186,1.50886,0.60408,0.32443,0.32447,0.18506,1.5743,2.74009,1.84834,0.000820916,0.000820916,0.000820916
3,47.2832,1.41099,1.85804,1.47176,0.48267,0.45002,0.41111,0.244,1.6351,2.50267,1.77026,0.00122937,0.00122937,0.00122937
4,60.1327,1.4428,1.83169,1.49887,0.51566,0.41057,0.37192,0.20386,1.78695,2.67918,1.96144,0.00123144,0.00123144,0.00123144
5,73.0011,1.45283,1.81071,1.51963,0.61601,0.39685,0.43343,0.25827,1.64868,2.40003,1.83143,0.00122525,0.00122525,0.00122525
6,85.8362,1.3644,1.66328,1.4776,0.54337,0.46344,0.45272,0.27345,1.524,2.08898,1.64937,0.00121906,0.00121906,0.00121906
7,98.7443,1.36103,1.58653,1.4377,0.50725,0.48691,0.43928,0.2478,1.60212,1.80322,1.71691,0.00121287,0.00121287,0.00121287
8,111.566,1.38132,1.57297,1.46153,0.60514,0.45152,0.48131,0.27367,1.49769,2.047,1.66055,0.00120669,0.00120669,0.00120669
9,124.219,1.33984,1.55471,1.45167,0.65597,0.50676,0.55561,0.32225,1.59896,1.664,1.73282,0.0012005,0.0012005,0.0012005
10,136.958,1.39821,1.45775,1.46412,0.71861,0.49922,0.57525,0.35557,1.48674,1.61511,1.6447,0.00119431,0.00119431,0.00119431
11,149.702,1.29156,1.36649,1.40061,0.60275,0.56937,0.57509,0.3761,1.4784,1.57684,1.59581,0.00118812,0.00118812,0.00118812
12,162.45,1.27182,1.31781,1.3774,0.73377,0.50055,0.59452,0.38877,1.41591,1.49664,1.56295,0.00118194,0.00118194,0.00118194
13,175.041,1.25692,1.25439,1.36861,0.73546,0.50549,0.59413,0.37151,1.51017,1.5186,1.65225,0.00117575,0.00117575,0.00117575
14,187.62,1.29931,1.28971,1.36354,0.74771,0.52094,0.6106,0.40454,1.43323,1.45465,1.53983,0.00116956,0.00116956,0.00116956
15,200.285,1.25686,1.26045,1.37768,0.67466,0.49368,0.55207,0.32946,1.51125,1.59413,1.60431,0.00116337,0.00116337,0.00116337
16,212.946,1.28601,1.25532,1.35948,0.71918,0.53363,0.61488,0.40913,1.42993,1.51504,1.53872,0.00115719,0.00115719,0.00115719
17,225.571,1.27219,1.22021,1.36327,0.70443,0.54511,0.59187,0.37278,1.46511,1.4598,1.57877,0.001151,0.001151,0.001151
18,238.177,1.22675,1.20834,1.3488,0.67003,0.57326,0.61527,0.39138,1.47641,1.48545,1.57708,0.00114481,0.00114481,0.00114481
19,250.789,1.244,1.15625,1.35775,0.77458,0.53591,0.61415,0.40654,1.43604,1.45697,1.56195,0.00113863,0.00113863,0.00113863
20,263.548,1.24156,1.18856,1.34163,0.69709,0.57095,0.6167,0.41383,1.41583,1.4606,1.5551,0.00113244,0.00113244,0.00113244
21,276.119,1.25461,1.17801,1.36111,0.75032,0.56507,0.61887,0.39532,1.46206,1.46605,1.58718,0.00112625,0.00112625,0.00112625
22,288.857,1.21067,1.08104,1.30279,0.73793,0.56135,0.63602,0.41427,1.42307,1.43903,1.5298,0.00112006,0.00112006,0.00112006
23,301.439,1.19182,1.10198,1.31308,0.74519,0.56759,0.63977,0.42485,1.42259,1.36444,1.51218,0.00111388,0.00111388,0.00111388
24,314.042,1.20822,1.08015,1.32311,0.76263,0.54433,0.6318,0.41257,1.37711,1.33293,1.47169,0.00110769,0.00110769,0.00110769
25,326.718,1.23447,1.12,1.35184,0.72409,0.55911,0.61975,0.40292,1.41712,1.42434,1.57718,0.0011015,0.0011015,0.0011015
26,339.295,1.24014,1.06382,1.34211,0.67083,0.58393,0.62753,0.42095,1.40046,1.43143,1.4969,0.00109531,0.00109531,0.00109531
27,352.012,1.18305,1.04651,1.31099,0.79509,0.53565,0.63875,0.43446,1.35001,1.37181,1.45446,0.00108913,0.00108913,0.00108913
28,364.69,1.19728,1.04423,1.302,0.68348,0.59366,0.62127,0.42262,1.35095,1.31517,1.49204,0.00108294,0.00108294,0.00108294
29,377.382,1.13517,1.03798,1.27939,0.86613,0.48884,0.6263,0.42435,1.36575,1.35778,1.45533,0.00107675,0.00107675,0.00107675
30,390.083,1.19295,1.10086,1.31347,0.81299,0.50685,0.61206,0.41172,1.48222,1.45098,1.6401,0.00107056,0.00107056,0.00107056
31,402.633,1.14483,1.02337,1.27895,0.81636,0.53919,0.62527,0.43251,1.39151,1.36849,1.5152,0.00106437,0.00106437,0.00106437
32,415.421,1.18998,1.03526,1.28782,0.8785,0.52167,0.65025,0.44329,1.34662,1.28003,1.46324,0.00105819,0.00105819,0.00105819
33,428.054,1.17423,1.04423,1.29739,0.7486,0.57758,0.64138,0.40837,1.35956,1.33892,1.5104,0.001052,0.001052,0.001052
