epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9798,1.36458,3.08334,1.4833,0.00603,0.53331,0.28135,0.18882,1.33876,3.26182,1.47406,0.000408333,0.000408333,0.000408333
2,34.2928,1.46048,2.10925,1.51102,0.53663,0.3583,0.34395,0.21114,1.50624,2.59857,1.80072,0.000822277,0.000822277,0.000822277
3,47.2491,1.40966,1.87281,1.47155,0.54126,0.39209,0.36372,0.1978,1.73576,2.57982,1.82396,0.00123347,0.00123347,0.00123347
4,60.2012,1.44174,1.80436,1.49011,0.48679,0.4073,0.34601,0.19414,1.74569,2.62806,1.82339,0.00123763,0.00123763,0.00123763
5,73.1138,1.43237,1.78004,1.52166,0.43588,0.3782,0.33801,0.1659,1.73518,2.25783,1.9209,0.0012335,0.0012335,0.0012335
6,85.952,1.37412,1.66934,1.49779,0.56888,0.49817,0.48716,0.2525,1.60971,1.8748,1.72745,0.00122937,0.00122937,0.00122937
7,98.8195,1.34932,1.55895,1.43022,0.65848,0.3982,0.4615,0.27616,1.6112,2.18563,1.67924,0.00122525,0.00122525,0.00122525
8,111.568,1.35782,1.53513,1.44348,0.67417,0.47993,0.48845,0.28683,1.61838,1.96399,1.81269,0.00122112,0.00122112,0.00122112
9,124.316,1.37065,1.54368,1.47428,0.64746,0.54379,0.5583,0.36014,1.52847,1.63997,1.70488,0.001217,0.001217,0.001217
10,137.064,1.37604,1.45701,1.44,0.71237,0.49188,0.58203,0.39932,1.39816,1.49333,1.54225,0.00121287,0.00121287,0.00121287
11,149.896,1.28823,1.33033,1.39969,0.62714,0.5218,0.55258,0.35606,1.4721,1.60791,1.58235,0.00120875,0.00120875,0.00120875
12,162.513,1.26669,1.30827,1.37885,0.75008,0.4894,0.58638,0.38871,1.42047,1.62703,1.55544,0.00120462,0.00120462,0.00120462
13,175.101,1.28963,1.28088,1.39185,0.60204,0.58348,0.57485,0.36255,1.47721,1.60114,1.60238,0.0012005,0.0012005,0.0012005
14,187.839,1.29853,1.30457,1.37619,0.72841,0.56369,0.62276,0.3987,1.46029,1.43509,1.5564,0.00119637,0.00119637,0.00119637
15,200.449,1.25373,1.25032,1.38712,0.6781,0.5514,0.59309,0.37143,1.49104,1.49735,1.62037,0.00119225,0.00119225,0.00119225
16,213.251,1.28563,1.2204,1.36664,0.61217,0.54841,0.54945,0.34365,1.51071,1.58838,1.58065,0.00118812,0.00118812,0.00118812
